#Reg ID	X(")	Y(")	LogAge	[Fe/H]VI	logg	E(B-V)	V	eV	VI	eVI	RA(deg)	Dec(deg)
6 46492 -111.33200 105.94500 10.00000 -1.22557 0.61877 0.03574 22.836 0.010 1.450 0.012 0.46000 -15.43139
6 46688 -110.28200 136.00999 8.05000 0.32976 1.54685 0.03574 22.787 0.006 1.352 0.008 0.46029 -15.42306
6 46900 -109.03300 244.29401 9.65000 -0.96112 0.80563 0.03362 22.894 0.005 1.414 0.007 0.46067 -15.39297
6 47024 -108.27000 237.15601 9.50000 -0.95942 0.66335 0.03366 22.602 0.005 1.479 0.007 0.46088 -15.39494
6 47096 -107.91700 -296.90100 9.40000 -1.20983 1.18046 0.05519 23.095 0.006 1.241 0.009 0.46096 -15.54331
6 47135 -107.70100 130.96800 9.90000 -1.22052 0.83509 0.03574 23.001 0.005 1.351 0.008 0.46104 -15.42445
6 47351 -106.53200 9.21100 9.60000 -1.14405 0.46921 0.03780 22.679 0.007 1.458 0.010 0.46138 -15.45828
6 47505 -105.76600 377.38300 8.05000 -0.71824 1.53205 0.25269 22.896 0.005 1.381 0.007 0.46163 -15.35600
6 47713 -104.72600 84.31700 9.75000 -1.21537 0.92040 0.03646 22.977 0.007 1.318 0.009 0.46192 -15.43742
6 47904 -103.71400 53.70700 9.50000 -0.95952 0.97134 0.03646 22.963 0.009 1.338 0.011 0.46221 -15.44592
6 48027 -103.05800 343.21399 9.70000 -1.21390 0.81726 0.03269 22.793 0.007 1.360 0.008 0.46238 -15.36550
6 48218 -102.03900 -194.29100 9.50000 -0.95943 0.83523 0.03739 22.801 0.006 1.399 0.008 0.46267 -15.51481
6 48275 -101.77300 -307.57199 9.85000 -0.96666 0.76582 0.03406 23.024 0.013 1.438 0.015 0.46275 -15.54628
6 48336 -101.47900 142.68600 10.00000 -1.22560 0.61006 0.03574 22.786 0.008 1.456 0.010 0.46283 -15.42120
6 48471 -100.81700 -748.17700 9.65000 -1.21375 0.92182 0.03202 22.928 0.017 1.331 0.020 0.46300 -15.66867
6 7037 -100.48600 54.98320 8.00000 0.32972 1.29121 0.03800 22.52 0.09 1.51 0.102956 0.5191629 -15.4791620
6 48658 -99.89700 100.83900 9.75000 -1.21527 0.48611 0.03574 22.475 0.006 1.527 0.008 0.46329 -15.43283
6 48713 -99.63700 -288.89499 8.15000 0.06038 1.71005 0.05519 23.081 0.006 1.246 0.008 0.46338 -15.54108
6 48777 -99.30800 149.76300 8.25000 0.05258 1.60702 0.03574 23.093 0.008 1.290 0.011 0.46346 -15.41922
6 48816 -99.12800 41.01200 9.35000 -0.95911 1.07880 0.03646 22.965 0.012 1.289 0.015 0.46350 -15.44944
6 48901 -98.72800 -22.36800 9.95000 -1.22318 0.88748 0.03780 23.088 0.007 1.336 0.010 0.46363 -15.46706
6 48909 -98.71200 -14.07300 9.35000 -0.95963 0.87425 0.03780 22.770 0.003 1.396 0.006 0.46363 -15.46475
